This job can be monitored from: https://scruffy.c3se.chalmers.se/d/alvis-job/alvis-job?var-jobid=551743&from=1662750828000
flat_modules is the only option now for updated Alvis nodes. You can remove this function call.

  0%|          | 0/23 [00:00<?, ?it/s]
epoch 1 iter 0: train loss 5.63292. lr 6.000000e-03:   0%|          | 0/23 [00:01<?, ?it/s]
epoch 1 iter 0: train loss 5.63292. lr 6.000000e-03:   4%|▍         | 1/23 [00:01<00:26,  1.23s/it]
epoch 2 iter 22: train loss 3.20905. lr 6.000000e-03:  96%|█████████▌| 22/23 [00:01<00:00,  9.97it/s]
epoch 2 iter 22: train loss 3.20905. lr 6.000000e-03: 100%|██████████| 23/23 [00:01<00:00, 11.78it/s]

  0%|          | 0/23 [00:00<?, ?it/s]
epoch 3 iter 0: train loss 3.17527. lr 6.000000e-03:   0%|          | 0/23 [00:00<?, ?it/s]
epoch 3 iter 1: train loss 3.18137. lr 6.000000e-03:   0%|          | 0/23 [00:00<?, ?it/s]
epoch 3 iter 1: train loss 3.18137. lr 6.000000e-03:   9%|▊         | 2/23 [00:00<00:01, 12.44it/s]
epoch 3 iter 2: train loss 3.16311. lr 6.000000e-03:   9%|▊         | 2/23 [00:00<00:01, 12.44it/s]
epoch 3 iter 3: train loss 3.21582. lr 6.000000e-03:   9%|▊         | 2/23 [00:00<00:01, 12.44it/s]
epoch 3 iter 3: train loss 3.21582. lr 6.000000e-03:  17%|█▋        | 4/23 [00:00<00:01, 11.79it/s]
epoch 3 iter 4: train loss 3.19411. lr 6.000000e-03:  17%|█▋        | 4/23 [00:00<00:01, 11.79it/s]
epoch 3 iter 5: train loss 3.14896. lr 6.000000e-03:  17%|█▋        | 4/23 [00:00<00:01, 11.79it/s]
epoch 3 iter 5: train loss 3.14896. lr 6.000000e-03:  26%|██▌       | 6/23 [00:00<00:01, 11.85it/s]
epoch 3 iter 6: train loss 3.14657. lr 6.000000e-03:  26%|██▌       | 6/23 [00:00<00:01, 11.85it/s]
epoch 3 iter 6: train loss 3.14657. lr 6.000000e-03:  30%|███       | 7/23 [00:00<00:01, 10.62it/s]
epoch 3 iter 7: train loss 3.13538. lr 6.000000e-03:  30%|███       | 7/23 [00:00<00:01, 10.62it/s]
epoch 3 iter 8: train loss 3.13380. lr 6.000000e-03:  30%|███       | 7/23 [00:00<00:01, 10.62it/s]
epoch 3 iter 8: train loss 3.13380. lr 6.000000e-03:  39%|███▉      | 9/23 [00:00<00:01, 10.27it/s]
epoch 3 iter 9: train loss 3.12120. lr 6.000000e-03:  39%|███▉      | 9/23 [00:00<00:01, 10.27it/s]
epoch 3 iter 9: train loss 3.12120. lr 6.000000e-03:  43%|████▎     | 10/23 [00:00<00:01, 10.02it/s]
epoch 3 iter 10: train loss 3.10811. lr 6.000000e-03:  43%|████▎     | 10/23 [00:01<00:01, 10.02it/s]
epoch 3 iter 11: train loss 3.14153. lr 6.000000e-03:  43%|████▎     | 10/23 [00:01<00:01, 10.02it/s]
epoch 3 iter 11: train loss 3.14153. lr 6.000000e-03:  52%|█████▏    | 12/23 [00:01<00:01, 10.59it/s]
epoch 3 iter 12: train loss 3.10225. lr 6.000000e-03:  52%|█████▏    | 12/23 [00:01<00:01, 10.59it/s]
epoch 3 iter 12: train loss 3.10225. lr 6.000000e-03:  57%|█████▋    | 13/23 [00:01<00:00, 10.00it/s]
epoch 3 iter 13: train loss 3.08884. lr 6.000000e-03:  57%|█████▋    | 13/23 [00:01<00:00, 10.00it/s]
epoch 3 iter 13: train loss 3.08884. lr 6.000000e-03:  61%|██████    | 14/23 [00:01<00:00,  9.72it/s]
epoch 3 iter 14: train loss 3.04695. lr 6.000000e-03:  61%|██████    | 14/23 [00:01<00:00,  9.72it/s]
epoch 3 iter 15: train loss 3.04475. lr 6.000000e-03:  61%|██████    | 14/23 [00:01<00:00,  9.72it/s]
epoch 3 iter 15: train loss 3.04475. lr 6.000000e-03:  70%|██████▉   | 16/23 [00:01<00:00, 10.18it/s]
epoch 3 iter 16: train loss 3.04072. lr 6.000000e-03:  70%|██████▉   | 16/23 [00:01<00:00, 10.18it/s]
epoch 3 iter 17: train loss 3.03245. lr 6.000000e-03:  70%|██████▉   | 16/23 [00:01<00:00, 10.18it/s]
epoch 3 iter 17: train loss 3.03245. lr 6.000000e-03:  78%|███████▊  | 18/23 [00:01<00:00, 10.42it/s]
epoch 3 iter 18: train loss 3.00346. lr 6.000000e-03:  78%|███████▊  | 18/23 [00:01<00:00, 10.42it/s]
epoch 3 iter 19: train loss 2.97038. lr 6.000000e-03:  78%|███████▊  | 18/23 [00:01<00:00, 10.42it/s]
epoch 3 iter 19: train loss 2.97038. lr 6.000000e-03:  87%|████████▋ | 20/23 [00:01<00:00, 10.35it/s]
epoch 3 iter 20: train loss 2.99755. lr 6.000000e-03:  87%|████████▋ | 20/23 [00:01<00:00, 10.35it/s]
epoch 3 iter 21: train loss 2.97018. lr 6.000000e-03:  87%|████████▋ | 20/23 [00:02<00:00, 10.35it/s]
epoch 3 iter 21: train loss 2.97018. lr 6.000000e-03:  96%|█████████▌| 22/23 [00:02<00:00,  9.95it/s]
epoch 3 iter 22: train loss 3.00227. lr 6.000000e-03:  96%|█████████▌| 22/23 [00:02<00:00,  9.95it/s]
epoch 3 iter 22: train loss 3.00227. lr 6.000000e-03: 100%|██████████| 23/23 [00:02<00:00, 10.49it/s]

  0%|          | 0/23 [00:00<?, ?it/s]
epoch 4 iter 0: train loss 2.96932. lr 6.000000e-03:   0%|          | 0/23 [00:00<?, ?it/s]
epoch 4 iter 1: train loss 2.97939. lr 6.000000e-03:   0%|          | 0/23 [00:00<?, ?it/s]
epoch 4 iter 1: train loss 2.97939. lr 6.000000e-03:   9%|▊         | 2/23 [00:00<00:01, 12.05it/s]
epoch 4 iter 2: train loss 2.97439. lr 6.000000e-03:   9%|▊         | 2/23 [00:00<00:01, 12.05it/s]
epoch 4 iter 3: train loss 3.02044. lr 6.000000e-03:   9%|▊         | 2/23 [00:00<00:01, 12.05it/s]
epoch 4 iter 3: train loss 3.02044. lr 6.000000e-03:  17%|█▋        | 4/23 [00:00<00:01, 12.25it/s]
epoch 4 iter 4: train loss 2.96871. lr 6.000000e-03:  17%|█▋        | 4/23 [00:00<00:01, 12.25it/s]
epoch 4 iter 5: train loss 2.98275. lr 6.000000e-03:  17%|█▋        | 4/23 [00:00<00:01, 12.25it/s]
epoch 4 iter 5: train loss 2.98275. lr 6.000000e-03:  26%|██▌       | 6/23 [00:00<00:01, 12.39it/s]
epoch 4 iter 6: train loss 2.97755. lr 6.000000e-03:  26%|██▌       | 6/23 [00:00<00:01, 12.39it/s]
epoch 4 iter 7: train loss 2.96771. lr 6.000000e-03:  26%|██▌       | 6/23 [00:00<00:01, 12.39it/s]
epoch 4 iter 7: train loss 2.96771. lr 6.000000e-03:  35%|███▍      | 8/23 [00:00<00:01, 11.86it/s]
epoch 4 iter 8: train loss 2.96047. lr 6.000000e-03:  35%|███▍      | 8/23 [00:00<00:01, 11.86it/s]
epoch 4 iter 8: train loss 2.96047. lr 6.000000e-03:  39%|███▉      | 9/23 [00:00<00:01, 10.96it/s]
epoch 4 iter 9: train loss 2.96267. lr 6.000000e-03:  39%|███▉      | 9/23 [00:00<00:01, 10.96it/s]
epoch 4 iter 9: train loss 2.96267. lr 6.000000e-03:  43%|████▎     | 10/23 [00:00<00:01, 10.61it/s]
epoch 4 iter 10: train loss 2.96092. lr 6.000000e-03:  43%|████▎     | 10/23 [00:00<00:01, 10.61it/s]
epoch 4 iter 11: train loss 3.00404. lr 6.000000e-03:  43%|████▎     | 10/23 [00:01<00:01, 10.61it/s]
epoch 4 iter 11: train loss 3.00404. lr 6.000000e-03:  52%|█████▏    | 12/23 [00:01<00:01, 10.76it/s]
epoch 4 iter 12: train loss 2.97756. lr 6.000000e-03:  52%|█████▏    | 12/23 [00:01<00:01, 10.76it/s]
epoch 4 iter 13: train loss 2.96061. lr 6.000000e-03:  52%|█████▏    | 12/23 [00:01<00:01, 10.76it/s]
epoch 4 iter 13: train loss 2.96061. lr 6.000000e-03:  61%|██████    | 14/23 [00:01<00:00, 10.55it/s]
epoch 4 iter 14: train loss 2.93721. lr 6.000000e-03:  61%|██████    | 14/23 [00:01<00:00, 10.55it/s]
epoch 4 iter 15: train loss 2.94429. lr 6.000000e-03:  61%|██████    | 14/23 [00:01<00:00, 10.55it/s]
epoch 4 iter 15: train loss 2.94429. lr 6.000000e-03:  70%|██████▉   | 16/23 [00:01<00:00, 10.87it/s]
epoch 4 iter 16: train loss 2.95210. lr 6.000000e-03:  70%|██████▉   | 16/23 [00:01<00:00, 10.87it/s]
epoch 4 iter 17: train loss 2.97126. lr 6.000000e-03:  70%|██████▉   | 16/23 [00:01<00:00, 10.87it/s]
epoch 4 iter 17: train loss 2.97126. lr 6.000000e-03:  78%|███████▊  | 18/23 [00:01<00:00, 10.37it/s]
epoch 4 iter 18: train loss 2.91416. lr 6.000000e-03:  78%|███████▊  | 18/23 [00:01<00:00, 10.37it/s]
epoch 4 iter 19: train loss 2.91835. lr 6.000000e-03:  78%|███████▊  | 18/23 [00:01<00:00, 10.37it/s]
epoch 4 iter 19: train loss 2.91835. lr 6.000000e-03:  87%|████████▋ | 20/23 [00:01<00:00, 10.00it/s]
epoch 4 iter 20: train loss 2.94282. lr 6.000000e-03:  87%|████████▋ | 20/23 [00:01<00:00, 10.00it/s]
epoch 4 iter 21: train loss 2.91372. lr 6.000000e-03:  87%|████████▋ | 20/23 [00:02<00:00, 10.00it/s]
epoch 4 iter 21: train loss 2.91372. lr 6.000000e-03:  96%|█████████▌| 22/23 [00:02<00:00, 10.74it/s]
epoch 4 iter 22: train loss 2.93964. lr 6.000000e-03:  96%|█████████▌| 22/23 [00:02<00:00, 10.74it/s]
epoch 4 iter 22: train loss 2.93964. lr 6.000000e-03: 100%|██████████| 23/23 [00:02<00:00, 11.02it/s]

  0%|          | 0/23 [00:00<?, ?it/s]
epoch 5 iter 0: train loss 2.90559. lr 6.000000e-03:   0%|          | 0/23 [00:00<?, ?it/s]
epoch 5 iter 1: train loss 2.92080. lr 6.000000e-03:   0%|          | 0/23 [00:00<?, ?it/s]
epoch 5 iter 1: train loss 2.92080. lr 6.000000e-03:   9%|▊         | 2/23 [00:00<00:01, 12.46it/s]
epoch 5 iter 2: train loss 2.91607. lr 6.000000e-03:   9%|▊         | 2/23 [00:00<00:01, 12.46it/s]
epoch 5 iter 2: train loss 2.91607. lr 6.000000e-03:  13%|█▎        | 3/23 [00:00<00:01, 10.48it/s]
epoch 5 iter 3: train loss 2.94831. lr 6.000000e-03:  13%|█▎        | 3/23 [00:00<00:01, 10.48it/s]
epoch 5 iter 3: train loss 2.94831. lr 6.000000e-03:  17%|█▋        | 4/23 [00:00<00:01,  9.90it/s]
epoch 5 iter 4: train loss 2.90279. lr 6.000000e-03:  17%|█▋        | 4/23 [00:00<00:01,  9.90it/s]
epoch 5 iter 5: train loss 2.90517. lr 6.000000e-03:  17%|█▋        | 4/23 [00:00<00:01,  9.90it/s]
epoch 5 iter 5: train loss 2.90517. lr 6.000000e-03:  26%|██▌       | 6/23 [00:00<00:01, 10.18it/s]
epoch 5 iter 6: train loss 2.89868. lr 6.000000e-03:  26%|██▌       | 6/23 [00:00<00:01, 10.18it/s]
epoch 5 iter 7: train loss 2.90983. lr 6.000000e-03:  26%|██▌       | 6/23 [00:00<00:01, 10.18it/s]
epoch 5 iter 7: train loss 2.90983. lr 6.000000e-03:  35%|███▍      | 8/23 [00:00<00:01, 10.69it/s]
epoch 5 iter 8: train loss 2.90248. lr 6.000000e-03:  35%|███▍      | 8/23 [00:00<00:01, 10.69it/s]
epoch 5 iter 8: train loss 2.90248. lr 6.000000e-03:  39%|███▉      | 9/23 [00:00<00:01,  9.94it/s]
epoch 5 iter 9: train loss 2.88927. lr 6.000000e-03:  39%|███▉      | 9/23 [00:00<00:01,  9.94it/s]
epoch 5 iter 9: train loss 2.88927. lr 6.000000e-03:  43%|████▎     | 10/23 [00:00<00:01,  9.82it/s]
epoch 5 iter 10: train loss 2.88805. lr 6.000000e-03:  43%|████▎     | 10/23 [00:01<00:01,  9.82it/s]
epoch 5 iter 11: train loss 2.93138. lr 6.000000e-03:  43%|████▎     | 10/23 [00:01<00:01,  9.82it/s]
epoch 5 iter 11: train loss 2.93138. lr 6.000000e-03:  52%|█████▏    | 12/23 [00:01<00:01, 10.40it/s]
epoch 5 iter 12: train loss 2.90014. lr 6.000000e-03:  52%|█████▏    | 12/23 [00:01<00:01, 10.40it/s]
epoch 5 iter 12: train loss 2.90014. lr 6.000000e-03:  57%|█████▋    | 13/23 [00:01<00:01,  9.31it/s]
epoch 5 iter 13: train loss 2.89417. lr 6.000000e-03:  57%|█████▋    | 13/23 [00:01<00:01,  9.31it/s]
epoch 5 iter 14: train loss 2.86092. lr 6.000000e-03:  57%|█████▋    | 13/23 [00:01<00:01,  9.31it/s]
epoch 5 iter 14: train loss 2.86092. lr 6.000000e-03:  65%|██████▌   | 15/23 [00:01<00:00,  9.99it/s]
epoch 5 iter 15: train loss 2.86603. lr 6.000000e-03:  65%|██████▌   | 15/23 [00:01<00:00,  9.99it/s]
epoch 5 iter 16: train loss 2.84183. lr 6.000000e-03:  65%|██████▌   | 15/23 [00:01<00:00,  9.99it/s]
epoch 5 iter 16: train loss 2.84183. lr 6.000000e-03:  74%|███████▍  | 17/23 [00:01<00:00,  9.23it/s]
epoch 5 iter 17: train loss 2.85848. lr 6.000000e-03:  74%|███████▍  | 17/23 [00:01<00:00,  9.23it/s]
epoch 5 iter 17: train loss 2.85848. lr 6.000000e-03:  78%|███████▊  | 18/23 [00:01<00:00,  9.30it/s]
epoch 5 iter 18: train loss 2.86021. lr 6.000000e-03:  78%|███████▊  | 18/23 [00:01<00:00,  9.30it/s]
epoch 5 iter 19: train loss 2.82171. lr 6.000000e-03:  78%|███████▊  | 18/23 [00:01<00:00,  9.30it/s]
epoch 5 iter 19: train loss 2.82171. lr 6.000000e-03:  87%|████████▋ | 20/23 [00:01<00:00, 10.18it/s]
epoch 5 iter 20: train loss 2.85011. lr 6.000000e-03:  87%|████████▋ | 20/23 [00:02<00:00, 10.18it/s]
epoch 5 iter 21: train loss 2.81490. lr 6.000000e-03:  87%|████████▋ | 20/23 [00:02<00:00, 10.18it/s]
epoch 5 iter 21: train loss 2.81490. lr 6.000000e-03:  96%|█████████▌| 22/23 [00:02<00:00,  9.97it/s]
epoch 5 iter 22: train loss 2.84736. lr 6.000000e-03:  96%|█████████▌| 22/23 [00:02<00:00,  9.97it/s]
epoch 5 iter 22: train loss 2.84736. lr 6.000000e-03: 100%|██████████| 23/23 [00:02<00:00, 10.21it/s]

  0%|          | 0/23 [00:00<?, ?it/s]
epoch 6 iter 0: train loss 2.81147. lr 6.000000e-03:   0%|          | 0/23 [00:00<?, ?it/s]
epoch 6 iter 0: train loss 2.81147. lr 6.000000e-03:   4%|▍         | 1/23 [00:00<00:02,  9.75it/s]
epoch 6 iter 1: train loss 2.82528. lr 6.000000e-03:   4%|▍         | 1/23 [00:00<00:02,  9.75it/s]
epoch 6 iter 1: train loss 2.82528. lr 6.000000e-03:   9%|▊         | 2/23 [00:00<00:02,  9.68it/s]
epoch 6 iter 2: train loss 2.81026. lr 6.000000e-03:   9%|▊         | 2/23 [00:00<00:02,  9.68it/s]
epoch 6 iter 3: train loss 2.89900. lr 6.000000e-03:   9%|▊         | 2/23 [00:00<00:02,  9.68it/s]
epoch 6 iter 3: train loss 2.89900. lr 6.000000e-03:  17%|█▋        | 4/23 [00:00<00:01, 10.14it/s]
epoch 6 iter 4: train loss 2.82068. lr 6.000000e-03:  17%|█▋        | 4/23 [00:00<00:01, 10.14it/s]
epoch 6 iter 5: train loss 2.82498. lr 6.000000e-03:  17%|█▋        | 4/23 [00:00<00:01, 10.14it/s]
epoch 6 iter 5: train loss 2.82498. lr 6.000000e-03:  26%|██▌       | 6/23 [00:00<00:01, 10.52it/s]
epoch 6 iter 6: train loss 2.83458. lr 6.000000e-03:  26%|██▌       | 6/23 [00:00<00:01, 10.52it/s]
epoch 6 iter 6: train loss 2.83458. lr 6.000000e-03:  30%|███       | 7/23 [00:00<00:01, 10.08it/s]
epoch 6 iter 7: train loss 2.83996. lr 6.000000e-03:  30%|███       | 7/23 [00:00<00:01, 10.08it/s]
epoch 6 iter 8: train loss 2.80422. lr 6.000000e-03:  30%|███       | 7/23 [00:00<00:01, 10.08it/s]
epoch 6 iter 8: train loss 2.80422. lr 6.000000e-03:  39%|███▉      | 9/23 [00:00<00:01, 10.64it/s]
epoch 6 iter 9: train loss 2.80613. lr 6.000000e-03:  39%|███▉      | 9/23 [00:00<00:01, 10.64it/s]
epoch 6 iter 10: train loss 2.85060. lr 6.000000e-03:  39%|███▉      | 9/23 [00:00<00:01, 10.64it/s]
epoch 6 iter 10: train loss 2.85060. lr 6.000000e-03:  48%|████▊     | 11/23 [00:00<00:01, 11.23it/s]
epoch 6 iter 11: train loss 2.84982. lr 6.000000e-03:  48%|████▊     | 11/23 [00:01<00:01, 11.23it/s]
epoch 6 iter 12: train loss 2.82547. lr 6.000000e-03:  48%|████▊     | 11/23 [00:01<00:01, 11.23it/s]
epoch 6 iter 12: train loss 2.82547. lr 6.000000e-03:  57%|█████▋    | 13/23 [00:01<00:01,  9.94it/s]
epoch 6 iter 13: train loss 2.83887. lr 6.000000e-03:  57%|█████▋    | 13/23 [00:01<00:01,  9.94it/s]
epoch 6 iter 13: train loss 2.83887. lr 6.000000e-03:  61%|██████    | 14/23 [00:01<00:01,  7.74it/s]
epoch 6 iter 14: train loss 2.78998. lr 6.000000e-03:  61%|██████    | 14/23 [00:01<00:01,  7.74it/s]
epoch 6 iter 14: train loss 2.78998. lr 6.000000e-03:  65%|██████▌   | 15/23 [00:01<00:01,  7.99it/s]
epoch 6 iter 15: train loss 2.80152. lr 6.000000e-03:  65%|██████▌   | 15/23 [00:01<00:01,  7.99it/s]
epoch 6 iter 16: train loss 2.79374. lr 6.000000e-03:  65%|██████▌   | 15/23 [00:01<00:01,  7.99it/s]
epoch 6 iter 16: train loss 2.79374. lr 6.000000e-03:  74%|███████▍  | 17/23 [00:01<00:00,  8.85it/s]
epoch 6 iter 17: train loss 2.81704. lr 6.000000e-03:  74%|███████▍  | 17/23 [00:01<00:00,  8.85it/s]
epoch 6 iter 17: train loss 2.81704. lr 6.000000e-03:  78%|███████▊  | 18/23 [00:01<00:00,  7.38it/s]
epoch 6 iter 18: train loss 2.79548. lr 6.000000e-03:  78%|███████▊  | 18/23 [00:02<00:00,  7.38it/s]
epoch 6 iter 18: train loss 2.79548. lr 6.000000e-03:  83%|████████▎ | 19/23 [00:02<00:00,  7.41it/s]
epoch 6 iter 19: train loss 2.76890. lr 6.000000e-03:  83%|████████▎ | 19/23 [00:02<00:00,  7.41it/s]
epoch 6 iter 19: train loss 2.76890. lr 6.000000e-03:  87%|████████▋ | 20/23 [00:02<00:00,  7.68it/s]
epoch 6 iter 20: train loss 2.79757. lr 6.000000e-03:  87%|████████▋ | 20/23 [00:02<00:00,  7.68it/s]
